time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-02-26 07:00:00 UTC+0000,1.25,1.6525,1.6525,1.1125
2021-02-26 11:00:00 UTC+0000,3.76,5.25,5.25,1.25
2021-02-26 15:00:00 UTC+0000,0.75,0.75,0.75,1.21
2021-02-26 19:00:00 UTC+0000,1.2,1.25,1.25,1.875
2021-02-26 23:00:00 UTC+0000,5.85,6.0,6.7525,6.0
2021-02-27 03:00:00 UTC+0000,2.99,3.94,3.4825,3.94
2021-02-27 07:00:00 UTC+0000,1.11,1.5,1.25,1.5
2021-02-27 11:00:00 UTC+0000,4.545,5.0,3.76,5.0
2021-02-27 15:00:00 UTC+0000,0.7175,1.4025,0.75,1.4025
2021-02-27 19:00:00 UTC+0000,1.815,4.265,1.2,4.265
2021-02-27 23:00:00 UTC+0000,7.25,19.25,5.85,19.25
2021-02-28 03:00:00 UTC+0000,4.945,19.5,2.99,19.5
2021-02-28 07:00:00 UTC+0000,2.5,5.13,1.11,5.13
2021-02-28 11:00:00 UTC+0000,6.1425,5.87,4.545,5.87
2021-02-28 15:00:00 UTC+0000,1.1125,1.53,0.7175,1.53
2021-02-28 19:00:00 UTC+0000,1.365,2.78,1.815,2.78
2021-02-28 23:00:00 UTC+0000,7.17,6.7525,7.25,13.75
2021-03-01 03:00:00 UTC+0000,3.3325,3.4825,4.945,6.6175
2021-03-01 07:00:00 UTC+0000,1.7275,1.25,2.5,2.345
2021-03-01 11:00:00 UTC+0000,2.75,3.76,6.1425,2.9775
2021-03-01 15:00:00 UTC+0000,0.8,0.75,1.1125,0.8775
2021-03-01 19:00:00 UTC+0000,1.22,1.2,1.365,1.5575
2021-03-01 23:00:00 UTC+0000,5.505,7.17,7.17,8.5
2021-03-02 03:00:00 UTC+0000,2.625,3.3325,3.3325,4.3
2021-03-02 07:00:00 UTC+0000,1.3,1.7275,1.7275,1.6875
2021-03-02 11:00:00 UTC+0000,3.005,2.75,2.75,2.585
2021-03-02 15:00:00 UTC+0000,0.71,0.8,0.8,0.7175
2021-03-02 19:00:00 UTC+0000,1.035,1.22,1.22,1.415
2021-03-02 23:00:00 UTC+0000,4.5525,5.505,5.505,7.79
